Times,OffenseTeam,Down,ToGo,Result,YardLineFixed
48:11,NYG,4,7,Made,23
45:56,PHI,4,7,Made,28
45:01,PHI,1,10,Made,43
28:26,TEN,4,3,Made,6
20:56,TEN,4,3,Made,19
15:05,TEN,1,10,Made,29
55:05,TEN,4,2,Made,17
32:46,CIN,4,15,Missed,30
59:47,GB,4,3,Made,10
48:51,CIN,4,2,Made,28
21:56,KC,4,13,Missed,33
19:35,KC,4,8,Made,16
15:03,LAC,4,9,Made,11
37:03,WAS,4,3,Missed,34
60:00,WAS,4,5,Made,5
56:57,OAK,4,4,Made,4
51:07,WAS,4,2,Made,10
29:12,ARI,4,13,Missed,18
51:40,ARI,4,10,Made,19
41:57,CHI,4,10,Missed,29
29:19,NO,4,13,Missed,23
15:04,NO,3,10,Made,25
57:37,NO,4,12,Made,27
25:35,ATL,4,4,Made,10
57:03,BUF,4,6,Made,6
49:48,BUF,4,7,Made,38
48:10,BUF,4,12,Made,37
0:26,PIT,4,11,Made,13
22:28,PIT,4,29,Made,31
15:02,BAL,3,4,Missed,44
42:36,BAL,4,16,Made,24
37:10,PIT,4,7,Missed,26
11:09,CLE,4,10,Missed,30
41:32,CIN,4,10,Made,23
11:33,DAL,4,6,Made,16
7:12,LA,4,7,Made,31
27:42,LA,4,12,Made,26
15:04,LA,1,5,Made,26
37:29,LA,4,3,Made,12
57:00,LA,4,10,Made,10
54:46,LA,4,6,Made,25
47:00,LA,4,5,Made,15
21:06,HOU,4,18,Made,32
53:44,HOU,4,6,Made,22
48:39,HOU,4,10,Made,15
25:50,DET,4,9,Made,10
15:05,DET,3,6,Missed,41
40:45,DET,4,11,Made,18
30:50,MIN,4,8,Missed,21
11:52,NE,4,2,Made,23
7:45,CAR,4,2,Made,14
19:34,NE,4,12,Made,17
15:04,NE,1,10,Made,40
45:04,CAR,3,6,Made,30
20:13,JAX,4,6,Made,12
16:14,NYJ,4,12,Made,27
15:12,NYJ,1,15,Missed,27
30:38,NYJ,4,8,Made,8
58:06,JAX,4,7,Missed,34
45:49,JAX,4,4,Made,4
2:11,SF,4,6,Made,31
28:11,ARI,4,12,Made,12
22:21,SF,4,14,Made,21
16:29,ARI,4,5,Made,25
40:39,SF,4,28,Made,29
36:55,ARI,4,11,Made,32
32:27,SF,4,10,Made,30
52:46,ARI,4,7,Made,14
0:10,PHI,4,12,Made,27
21:47,PHI,4,13,Made,22
19:13,PHI,4,8,Made,35
15:04,LAC,4,3,Made,10
31:01,PHI,4,13,Made,29
26:58,TB,4,10,Missed,28
22:21,NYG,4,1,Made,12
15:35,TB,4,2,Made,2
40:14,TB,4,4,Missed,30
59:19,NYG,4,4,Missed,25
45:04,TB,3,13,Made,16
1:13,DEN,4,10,Made,10
39:44,DEN,4,3,Made,18
35:12,DEN,4,19,Made,28
59:14,DEN,4,11,Missed,11
50:27,OAK,4,10,Made,20
9:03,SEA,4,1,Made,25
15:05,SEA,1,10,Missed,19
34:57,IND,4,8,Made,22
2:50,WAS,4,1,Made,1
15:10,KC,3,10,Missed,28
30:04,KC,4,3,Made,7
49:55,KC,4,5,Made,14
45:50,WAS,4,2,Made,22
45:08,KC,3,11,Made,25
1:25,NE,4,5,Made,9
15:43,NE,4,5,Made,5
15:00,TB,1,10,Missed,38
39:59,NE,4,4,Made,27
59:19,TB,4,2,Missed,31
50:39,TB,4,13,Missed,13
46:14,NE,4,3,Made,30
0:15,BUF,4,4,Made,13
24:05,CIN,4,2,Made,12
31:59,BUF,4,4,Made,20
54:03,BUF,4,8,Made,10
48:37,CIN,4,7,Made,11
25:05,CLE,4,12,Missed,34
15:35,CLE,4,4,Missed,21
15:01,NYJ,1,10,Made,39
11:36,DET,4,10,Made,12
39:31,CAR,4,13,Made,26
59:13,CAR,4,19,Missed,37
9:15,IND,4,19,Made,34
2:41,SF,4,4,Made,10
16:03,IND,4,5,Made,5
15:07,SF,2,3,Made,25
37:51,IND,4,18,Made,20
58:44,SF,4,3,Made,22
0:57,MIA,4,7,Made,23
24:42,TEN,4,13,Made,27
15:09,LAC,4,2,Made,2
49:54,LAC,4,13,Made,13
15:05,ARI,1,10,Missed,33
39:22,PHI,4,5,Made,18
47:05,PHI,4,10,Made,10
10:21,PIT,4,8,Made,11
15:04,PIT,3,9,Made,16
38:57,PIT,4,2,Made,2
51:48,JAX,4,11,Made,29
24:34,LA,4,8,Made,17
15:02,SEA,4,3,Made,29
40:00,LA,4,12,Missed,18
35:47,SEA,4,1,Made,31
46:12,SEA,4,7,Made,17
5:11,OAK,4,12,Made,14
20:21,BAL,4,5,Made,5
58:13,BAL,4,3,Made,3
47:29,BAL,4,4,Made,26
41:12,GB,4,4,Made,4
56:49,DAL,4,8,Made,25
6:57,KC,4,5,Made,17
26:28,KC,4,2,Made,24
19:21,KC,4,7,Made,23
59:05,KC,4,5,Made,17
46:13,KC,4,5,Made,30
16:06,MIN,4,5,Made,8
45:16,MIN,4,1,Made,8
7:02,PHI,4,7,Made,32
2:20,CAR,4,2,Made,21
41:24,CAR,4,2,Made,2
38:08,PHI,4,1,Made,30
33:28,CAR,4,10,Made,29
9:48,ATL,4,1,Made,32
15:02,ATL,3,9,Missed,41
53:39,MIA,4,6,Made,31
47:35,MIA,4,11,Made,20
25:58,CHI,4,3,Made,5
15:08,BAL,4,9,Made,9
56:39,BAL,4,13,Made,13
48:01,BAL,4,4,Made,31
11:01,HOU,4,6,Made,23
3:19,CLE,4,6,Made,23
16:53,GB,4,8,Made,8
39:39,MIN,4,10,Made,18
60:00,MIN,4,1,Made,17
55:52,MIN,4,10,Made,35
0:09,NO,4,10,Made,23
21:44,DET,4,1,Made,22
42:40,DET,4,9,Missed,38
16:11,NE,4,10,Missed,29
59:13,NE,4,8,Made,9
48:43,NYJ,4,9,Made,10
16:56,WAS,4,14,Made,30
39:45,SF,4,13,Made,33
33:27,SF,4,13,Missed,28
55:37,WAS,4,3,Made,3
20:33,ARI,4,10,Made,10
8:59,LA,4,2,Made,37
15:02,JAX,1,10,Missed,36
35:23,JAX,4,10,Missed,23
35:20,JAX,4,5,Made,18
35:20,JAX,4,10,Made,23
47:36,LA,4,4,Made,11
46:12,JAX,2,8,Missed,36
6:25,KC,4,6,Made,28
17:11,PIT,4,6,Made,6
47:21,KC,4,10,Made,15
11:14,LAC,4,10,Missed,30
15:04,OAK,4,2,Made,26
45:03,LAC,3,14,Made,14
6:58,NYG,4,7,Made,7
0:57,DEN,4,4,Missed,16
19:25,DEN,4,10,Made,10
38:13,NYG,4,3,Made,33
34:18,DEN,4,8,Missed,35
32:15,NYG,4,3,Missed,31
45:31,NYG,4,11,Made,22
11:20,TEN,4,7,Made,30
6:49,IND,4,11,Made,18
0:52,TEN,4,5,Made,14
19:15,TEN,4,2,Made,22
15:19,IND,4,6,Made,6
39:48,TEN,4,5,Made,30
34:40,TEN,4,5,Made,5
52:32,IND,4,20,Made,34
10:19,KC,4,8,Made,35
19:56,OAK,4,16,Missed,35
16:09,KC,4,3,Made,21
15:02,OAK,4,6,Missed,27
30:51,KC,4,8,Made,19
56:56,OAK,4,6,Made,8
9:49,TB,4,18,Made,32
5:49,BUF,4,6,Made,6
0:25,TB,4,6,Made,7
19:12,BUF,4,9,Missed,23
58:36,BUF,4,12,Made,34
45:18,BUF,4,1,Made,12
30:00,CHI,4,16,Missed,34
18:23,CAR,4,10,Made,18
16:14,CHI,4,1,Made,1
8:42,TEN,4,8,Made,25
23:31,CLE,4,12,Made,13
16:40,TEN,4,5,Made,5
34:30,CLE,4,12,Made,29
59:55,TEN,4,7,Made,28
53:49,TEN,4,2,Missed,35
45:51,CLE,4,8,Made,36
15:06,GB,2,20,Missed,41
34:12,NO,4,7,Made,10
59:50,GB,4,10,Made,28
55:26,NO,4,10,Made,26
22:43,JAX,4,7,Made,24
17:00,JAX,4,11,Made,15
10:08,ARI,4,2,Missed,14
4:18,LA,4,4,Made,5
26:20,LA,4,4,Made,14
15:03,LA,4,17,Made,35
40:57,LA,4,6,Made,16
45:26,MIA,4,4,Made,21
8:34,BAL,4,14,Made,30
3:44,MIN,4,4,Made,34
28:00,MIN,4,3,Made,33
25:01,BAL,4,7,Made,39
15:39,MIN,4,1,Made,24
40:57,MIN,4,8,Made,25
33:02,BAL,4,5,Made,29
56:58,MIN,4,5,Made,17
48:07,MIN,4,4,Made,14
17:00,PIT,4,4,Made,4
15:03,PIT,3,6,Made,6
37:28,PIT,4,5,Made,23
35:33,PIT,4,1,Made,31
50:17,PIT,4,1,Made,7
4:33,SF,4,8,Made,24
15:46,SEA,4,4,Made,21
59:23,NYG,4,10,Missed,29
1:11,ATL,4,10,Missed,19
19:46,NE,4,9,Made,10
40:39,ATL,4,7,Missed,17
34:14,NE,4,3,Made,3
54:20,NE,4,6,Made,20
11:22,WAS,4,2,Made,9
28:19,PHI,4,9,Made,32
51:24,PHI,4,8,Made,24
46:50,PHI,4,4,Missed,27
28:21,BAL,4,9,Made,37
23:07,BAL,4,5,Made,30
20:05,MIA,4,11,Missed,32
37:43,BAL,4,2,Missed,28
5:31,MIN,4,4,Made,17
15:03,MIN,1,10,Made,16
43:36,MIN,4,5,Made,25
42:08,CLE,4,9,Missed,17
35:36,CLE,4,5,Made,5
46:14,MIN,4,11,Made,33
41:48,BUF,4,13,Made,17
38:23,BUF,4,10,Made,26
5:45,CIN,4,11,Made,11
1:42,CIN,4,6,Missed,16
